Componente exigido por los Lineamientos,¿Presente en el PGD analizado?,Sección y página,Calidad (completo / parcial / declarativo),Observación
1. Introducción y marco normativo,Sí,Pág. 3,Completo,Incluye marco vigente
2. Situación actual: análisis interno y externo,Sí,Pág. 10,Completo,Presenta diagnóstico digital
3. Alineamiento estratégico con el PEI y las políticas nacionales,Sí,Pág. 25,Completo,Articulado explícitamente a los OEI
4. Objetivos de gobierno digital,Sí,Pág. 58,Completo,5 OGD definidos
5. Portafolio de proyectos,Sí,Pág. 60,Completo,Incluye lista priorizada
6. Gestión de riesgos,Sí,Pág. 65,Completo,Identificación clara de riesgos TIC
7. Cronograma e implementación,Sí,Pág. 67,Completo,Plazos definidos
8. Supervisión y evaluación,Sí,Pág. 68,Completo,Matriz de indicadores de impacto
9. Anexos,Sí,Pág. 69,Completo,Glosario y tablas adicionales
Adicional: ¿se identifica al Líder de Gobierno Digital?,Sí,Introducción,Completo,Nombrado oficialmente
Adicional: ¿se evidencia el Comité de Gobierno Digital?,Sí,Introducción,Completo,Acta mencionada
Adicional: ¿el periodo cubre al menos 3 años?,Sí,Portada,Completo,Periodo 2025-2027
Adicional: ¿hay evidencia de actualización anual?,No,N/A,Ausente,Documento de versión inicial
